INFO   [2023-03-15 12:12:35] Processing files Y:\03_DEV\06_GITHUB\tcs-1\Projects\IDIT_CheckPayments\tmp\*.xml 
INFO   [2023-03-15 12:12:36] File processed                                File=camt.054_P_CH2509000000120066587_1111188138_0_2023030623472680.xml.treated NumPayments=6
INFO   [2023-03-15 12:12:36] File processed                                File=camt.054_P_CH2509000000120066587_1111188138_0_2023030723461429.xml.treated NumPayments=8
INFO   [2023-03-15 12:12:36] File processed                                File=camt.054_P_CH2509000000120066587_1111188138_0_2023030823402738.xml.treated NumPayments=2
INFO   [2023-03-15 12:12:36] File processed                                File=camt.054_P_CH2509000000120066587_1111188138_0_2023030923422022.xml.treated NumPayments=4
INFO   [2023-03-15 12:12:36] File processed                                File=camt.054_P_CH2509000000120066587_1111188138_0_2023031023411844.xml.treated NumPayments=5
INFO   [2023-03-15 12:12:36] File processed                                File=camt.054_P_CH2509000000120066587_1111188138_0_2023031323402215.xml.treated NumPayments=3
INFO   [2023-03-15 12:12:36] File processed                                File=camt.054_P_CH2509000000120066587_1111188138_0_2023031423391100.xml.treated NumPayments=3
INFO   [2023-03-15 12:12:37] File processed                                File=camt.054_P_CH2509000000120066587_1115788820_0_2023031423521083.xml.treated NumPayments=824
INFO   [2023-03-15 12:12:37] File processed                                File=camt.054_P_CH4009000000120011900_1111183850_0_2023031423382716.xml.treated NumPayments=51
INFO   [2023-03-15 12:12:38] File processed                                File=camt.054_P_CH8609000000120024167_1111203185_0_2023031423422796.xml.treated NumPayments=1937
INFO   [2023-03-15 12:12:38] File processed                                File=camt.054_P_CH8609000000120024167_1111205916_0_2023030623391078.xml.treated NumPayments=81
INFO   [2023-03-15 12:12:38] File processed                                File=camt.054_P_CH8609000000120024167_1111205916_0_2023030723392830.xml.treated NumPayments=64
INFO   [2023-03-15 12:12:38] File processed                                File=camt.054_P_CH8609000000120024167_1111205916_0_2023030823401753.xml.treated NumPayments=42
INFO   [2023-03-15 12:12:38] File processed                                File=camt.054_P_CH8609000000120024167_1111205916_0_2023030923411804.xml.treated NumPayments=42
INFO   [2023-03-15 12:12:38] File processed                                File=camt.054_P_CH8609000000120024167_1111205916_0_2023031023432333.xml.treated NumPayments=56
INFO   [2023-03-15 12:12:39] File processed                                File=camt.054_P_CH8609000000120024167_1111205916_0_2023031323412422.xml.treated NumPayments=54
INFO   [2023-03-15 12:12:39] File processed                                File=camt.054_P_CH8609000000120024167_1111205916_0_2023031423391968.xml.treated NumPayments=24
INFO   [2023-03-15 12:12:39] CSV file output written                       NumFiles=17 OutputFile=incoming-payments.csv TotalPayments=3206
