"transactionnum","tmessage","action","logdate","num","usernum","itemnum","docrevnum","registernum","actionnum","subactionnum","severityflag","tracelvl","extrainfo1","extrainfo2"
"54446","Database records created for Itemnum 266255                                                                                                                                                             ","0","23.02.2023 10:00:11","266255","147","266255","0","101","6","53","0","0","0","0"
"54447","Document (266255) moved to Diskgroup (102)                                                                                                                                                              ","0","23.02.2023 10:00:11","266255","147","266255","102","101","6","54","0","0","0","0"
"54448","Database records created for Itemnum 266256                                                                                                                                                             ","0","23.02.2023 10:00:12","266256","147","266256","0","101","6","53","0","0","0","0"
"54449","Document (266256) moved to Diskgroup (102)                                                                                                                                                              ","0","23.02.2023 10:00:12","266256","147","266256","102","101","6","54","0","0","0","0"
"54450","Database records created for Itemnum 266257                                                                                                                                                             ","0","23.02.2023 10:00:12","266257","147","266257","0","101","6","53","0","0","0","0"
"54451","Document (266257) moved to Diskgroup (102)                                                                                                                                                              ","0","23.02.2023 10:00:12","266257","147","266257","102","101","6","54","0","0","0","0"
"54458","Database records created for Itemnum 266265                                                                                                                                                             ","0","23.02.2023 10:35:52","266265","147","266265","0","101","6","53","0","0","0","0"
"54459","Document (266265) moved to Diskgroup (102)                                                                                                                                                              ","0","23.02.2023 10:35:52","266265","147","266265","102","101","6","54","0","0","0","0"
"54460","Database records created for Itemnum 266266                                                                                                                                                             ","0","23.02.2023 10:35:52","266266","147","266266","0","101","6","53","0","0","0","0"
"54461","Document (266266) moved to Diskgroup (102)                                                                                                                                                              ","0","23.02.2023 10:35:52","266266","147","266266","102","101","6","54","0","0","0","0"
"54462","Database records created for Itemnum 266267                                                                                                                                                             ","0","23.02.2023 10:35:52","266267","147","266267","0","101","6","53","0","0","0","0"
"54463","Document (266267) moved to Diskgroup (102)                                                                                                                                                              ","0","23.02.2023 10:35:52","266267","147","266267","102","101","6","54","0","0","0","0"
"54464","(266269) 'SYS Transaction Logs - 23.02.2023  PURGE LOG: TASK EXECUTION HISTORY'créés                                                                                                                    ","16","23.02.2023 14:28:37","266269","101","266269","0","101","1","1","0","0","0","0"
"54452","Database records created for Itemnum 266260                                                                                                                                                             ","0","23.02.2023 10:30:51","266260","147","266260","0","101","6","53","0","0","0","0"
"54453","Document (266260) moved to Diskgroup (102)                                                                                                                                                              ","0","23.02.2023 10:30:51","266260","147","266260","102","101","6","54","0","0","0","0"
"54454","Database records created for Itemnum 266261                                                                                                                                                             ","0","23.02.2023 10:30:52","266261","147","266261","0","101","6","53","0","0","0","0"
"54455","Document (266261) moved to Diskgroup (102)                                                                                                                                                              ","0","23.02.2023 10:30:52","266261","147","266261","102","101","6","54","0","0","0","0"
"54456","Database records created for Itemnum 266262                                                                                                                                                             ","0","23.02.2023 10:30:52","266262","147","266262","0","101","6","53","0","0","0","0"
"54457","Document (266262) moved to Diskgroup (102)                                                                                                                                                              ","0","23.02.2023 10:30:52","266262","147","266262","102","101","6","54","0","0","0","0"
