"transactionnum";"tmessage";"action";"logdate";"num";"usernum";"itemnum";"docrevnum";"registernum";"actionnum";"subactionnum";"severityflag";"tracelvl";"extrainfo1";"extrainfo2"
"77502";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:48";"273150";"147";"273150";"0";"101";"6";"46";"0";"0";"133";"459"
"77503";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:49";"273156";"147";"273156";"0";"101";"6";"46";"0";"0";"133";"459"
"77504";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:49";"273160";"147";"273160";"0";"101";"6";"46";"0";"0";"133";"459"
"77505";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:49";"273161";"147";"273161";"0";"101";"6";"46";"0";"0";"133";"459"
"77506";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:50";"273163";"147";"273163";"0";"101";"6";"46";"0";"0";"133";"459"
"77507";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:50";"273165";"147";"273165";"0";"101";"6";"46";"0";"0";"133";"459"
"77508";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:51";"273194";"147";"273194";"0";"101";"6";"46";"0";"0";"133";"459"
"77509";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:51";"273195";"147";"273195";"0";"101";"6";"46";"0";"0";"133";"459"
"77510";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:52";"273200";"147";"273200";"0";"101";"6";"46";"0";"0";"133";"459"
"77511";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:52";"273204";"147";"273204";"0";"101";"6";"46";"0";"0";"133";"459"
"77512";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:52";"273214";"147";"273214";"0";"101";"6";"46";"0";"0";"133";"459"
"77513";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:53";"273216";"147";"273216";"0";"101";"6";"46";"0";"0";"133";"459"
"77514";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:53";"273238";"147";"273238";"0";"101";"6";"46";"0";"0";"133";"459"
"77515";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:54";"273239";"147";"273239";"0";"101";"6";"46";"0";"0";"133";"459"
"77516";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:54";"273252";"147";"273252";"0";"101";"6";"46";"0";"0";"133";"459"
"77517";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:55";"273278";"147";"273278";"0";"101";"6";"46";"0";"0";"133";"459"
"77518";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:55";"273283";"147";"273283";"0";"101";"6";"46";"0";"0";"133";"459"
"77519";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:55";"273288";"147";"273288";"0";"101";"6";"46";"0";"0";"133";"459"
"77520";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:56";"273291";"147";"273291";"0";"101";"6";"46";"0";"0";"133";"459"
"77521";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:56";"273293";"147";"273293";"0";"101";"6";"46";"0";"0";"133";"459"
"77522";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:57";"273322";"147";"273322";"0";"101";"6";"46";"0";"0";"133";"459"
"77523";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:57";"273328";"147";"273328";"0";"101";"6";"46";"0";"0";"133";"459"
"77524";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:57";"273329";"147";"273329";"0";"101";"6";"46";"0";"0";"133";"459"
"77525";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:58";"273330";"147";"273330";"0";"101";"6";"46";"0";"0";"133";"459"
"77526";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:58";"273333";"147";"273333";"0";"101";"6";"46";"0";"0";"133";"459"
"77527";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:59";"273334";"147";"273334";"0";"101";"6";"46";"0";"0";"133";"459"
"77528";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:01:59";"273339";"147";"273339";"0";"101";"6";"46";"0";"0";"133";"459"
"77529";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:00";"273340";"147";"273340";"0";"101";"6";"46";"0";"0";"133";"459"
"77530";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:00";"273343";"147";"273343";"0";"101";"6";"46";"0";"0";"133";"459"
"77531";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:00";"273347";"147";"273347";"0";"101";"6";"46";"0";"0";"133";"459"
"77532";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:01";"273348";"147";"273348";"0";"101";"6";"46";"0";"0";"133";"459"
"77533";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:01";"273349";"147";"273349";"0";"101";"6";"46";"0";"0";"133";"459"
"77534";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:02";"273351";"147";"273351";"0";"101";"6";"46";"0";"0";"133";"459"
"77535";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:03";"273352";"147";"273352";"0";"101";"6";"46";"0";"0";"133";"459"
