"tfullmessage";"transactionnum";"tmessage";"action";"logdate";"num";"usernum";"username";"itemnum";"docrevnum";"registernum";"actionnum";"subactionnum";"severityflag";"tracelvl";"extrainfo1";"extrainfo2"
"Database records created for Itemnum 276779 - Database records created";"81733";"Database records created for Itemnum 276779";"0";"12.03.2024 08:01:25";"276779";"147";"DIP_SERVICE";"276779";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276779) moved to Diskgroup (102) - File moved to Diskgroup";"81734";"Document (276779) moved to Diskgroup (102)";"0";"12.03.2024 08:01:25";"276779";"147";"DIP_SERVICE";"276779";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276780 - Database records created";"81735";"Database records created for Itemnum 276780";"0";"12.03.2024 08:01:25";"276780";"147";"DIP_SERVICE";"276780";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276780) moved to Diskgroup (102) - File moved to Diskgroup";"81736";"Document (276780) moved to Diskgroup (102)";"0";"12.03.2024 08:01:25";"276780";"147";"DIP_SERVICE";"276780";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276781 - Database records created";"81737";"Database records created for Itemnum 276781";"0";"12.03.2024 08:01:25";"276781";"147";"DIP_SERVICE";"276781";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276781) moved to Diskgroup (102) - File moved to Diskgroup";"81738";"Document (276781) moved to Diskgroup (102)";"0";"12.03.2024 08:01:25";"276781";"147";"DIP_SERVICE";"276781";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276782 - Database records created";"81739";"Database records created for Itemnum 276782";"0";"12.03.2024 08:01:26";"276782";"147";"DIP_SERVICE";"276782";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276782) moved to Diskgroup (102) - File moved to Diskgroup";"81740";"Document (276782) moved to Diskgroup (102)";"0";"12.03.2024 08:01:26";"276782";"147";"DIP_SERVICE";"276782";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276783 - Database records created";"81741";"Database records created for Itemnum 276783";"0";"12.03.2024 08:01:26";"276783";"147";"DIP_SERVICE";"276783";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276783) moved to Diskgroup (102) - File moved to Diskgroup";"81742";"Document (276783) moved to Diskgroup (102)";"0";"12.03.2024 08:01:26";"276783";"147";"DIP_SERVICE";"276783";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276784 - Database records created";"81743";"Database records created for Itemnum 276784";"0";"12.03.2024 08:01:26";"276784";"147";"DIP_SERVICE";"276784";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276784) moved to Diskgroup (102) - File moved to Diskgroup";"81744";"Document (276784) moved to Diskgroup (102)";"0";"12.03.2024 08:01:26";"276784";"147";"DIP_SERVICE";"276784";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276785 - Database records created";"81745";"Database records created for Itemnum 276785";"0";"12.03.2024 08:01:26";"276785";"147";"DIP_SERVICE";"276785";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276785) moved to Diskgroup (102) - File moved to Diskgroup";"81746";"Document (276785) moved to Diskgroup (102)";"0";"12.03.2024 08:01:27";"276785";"147";"DIP_SERVICE";"276785";"102";"101";"6";"54";"0";"0";"0";"0"
