Created Document;TRANSACTIONXLOG;1;1
Created Document from Existing;TRANSACTIONXLOG;1;2
Deleted Document;TRANSACTIONXLOG;1;3
Deleted Un-indexed Document;TRANSACTIONXLOG;1;4
Undeleted Document;TRANSACTIONXLOG;1;5
List Content Report Created;TRANSACTIONXLOG;1;6
Search Result Report Created;TRANSACTIONXLOG;1;7
Document Destroyed by Records Management;TRANSACTIONXLOG;1;8
Uploaded to CIC;TRANSACTIONXLOG;1;9
Returned from CIC;TRANSACTIONXLOG;1;10
Uploaded to DocuSign;TRANSACTIONXLOG;1;11
Returned from DocuSign;TRANSACTIONXLOG;1;12
Document Separation;TRANSACTIONXLOG;1;13
Document Packet Created;TRANSACTIONXLOG;1;14
Created Folder;TRANSACTIONXLOG;2;1
Viewed Folder;TRANSACTIONXLOG;2;2
Viewed Folder Keywords;TRANSACTIONXLOG;2;3
Deleted Folder;TRANSACTIONXLOG;2;4
Added an item to a Folder;TRANSACTIONXLOG;2;5
Removed an Item from a Folder;TRANSACTIONXLOG;2;6
Added an Item to a Managed Folder;TRANSACTIONXLOG;2;7
Modify Folder Keywords;TRANSACTIONXLOG;2;8
Viewed Folder and Children;TRANSACTIONXLOG;2;9
Failed to Update Child Folder Keywords;TRANSACTIONXLOG;2;10
Folder Purged;TRANSACTIONXLOG;2;11
Folder Moved;TRANSACTIONXLOG;2;12
Folder Copied;TRANSACTIONXLOG;2;13
Folder Keyword Deleted;TRANSACTIONXLOG;2;14
Folder Keyword Added;TRANSACTIONXLOG;2;15
Folder Modified Date;TRANSACTIONXLOG;2;16
Folder Undeleted;TRANSACTIONXLOG;2;17
Sealed Folder;TRANSACTIONXLOG;2;18
Unsealed Folder;TRANSACTIONXLOG;2;19
Added an Item to a Folder;TRANSACTIONXLOG;2;20
Removed an Item from a Folder;TRANSACTIONXLOG;2;21
Added an Item to a Managed Folder;TRANSACTIONXLOG;2;22
Folder Keyword AutoUpdate Failure;TRANSACTIONXLOG;2;23
Removed Orphan Folder;TRANSACTIONXLOG;2;24
Modified Folder Contents Keyword;TRANSACTIONXLOG;2;25
Created Note;TRANSACTIONXLOG;3;1
Viewed Note;TRANSACTIONXLOG;3;2
Deleted Note;TRANSACTIONXLOG;3;3
Modified Note;TRANSACTIONXLOG;3;4
Unity Note Retrieved;TRANSACTIONXLOG;3;5
Viewed All Notes;TRANSACTIONXLOG;3;6
Viewed Document;TRANSACTIONXLOG;4;1
Printed a Document;TRANSACTIONXLOG;4;2
Mailed a Document;TRANSACTIONXLOG;4;3
Document Re-indexed;TRANSACTIONXLOG;4;4
Checked Out Document;TRANSACTIONXLOG;4;5
Checked In Document;TRANSACTIONXLOG;4;6
Cancelled Check Out;TRANSACTIONXLOG;4;7
Created Document Revision;TRANSACTIONXLOG;4;8
Created Document Rendition;TRANSACTIONXLOG;4;9
Deleted Revision;TRANSACTIONXLOG;4;10
Burn Redaction Bitmaps;TRANSACTIONXLOG;4;11
Unique Barcode Match – Page appended;TRANSACTIONXLOG;4;12
Dropped Page into Document;TRANSACTIONXLOG;4;13
Dragged Page from Document;TRANSACTIONXLOG;4;14
Document Rotation Saved;TRANSACTIONXLOG;4;15
Added Page to Document;TRANSACTIONXLOG;4;16
Modify Document Date;TRANSACTIONXLOG;4;17
Modified Document FileType;TRANSACTIONXLOG;4;18
Document Password;TRANSACTIONXLOG;4;19
Document Version Overwritten;TRANSACTIONXLOG;4;22
Append Imported Image;TRANSACTIONXLOG;4;23
Document Field Modified;TRANSACTIONXLOG;4;24
Unity API Retrieved Document;TRANSACTIONXLOG;4;25
Viewed Document Thumbnail;TRANSACTIONXLOG;4;26
Keyword/Bar code match - entire document appended to existing document;TRANSACTIONXLOG;4;27
Mailed a Document as a Link;TRANSACTIONXLOG;4;28
Scanned More Pages;TRANSACTIONXLOG;4;29
Reordered Pages;TRANSACTIONXLOG;4;30
Printed Document Thumbnail;TRANSACTIONXLOG;4;31
Volume Changed;TRANSACTIONXLOG;4;32
Burn Redaction Notes;TRANSACTIONXLOG;4;33
Page Added to Document;TRANSACTIONXLOG;4;34
Signature added to document;TRANSACTIONXLOG;4;35
Reordered Pages;TRANSACTIONXLOG;4;36
Rescanned Page;TRANSACTIONXLOG;4;37
Marked Page for Rescan;TRANSACTIONXLOG;4;38
Marked Document for Rescan;TRANSACTIONXLOG;4;39
Marked Document for Manager Resolution;TRANSACTIONXLOG;4;40
Marked Document for QA Re-Index;TRANSACTIONXLOG;4;41
Document Received Manager OK;TRANSACTIONXLOG;4;42
Document Received QA Review OK;TRANSACTIONXLOG;4;43
Marked for Additional Pages After Page;TRANSACTIONXLOG;4;44
Page Rotated;TRANSACTIONXLOG;4;45
Page Flipped;TRANSACTIONXLOG;4;46
Modified Markup Layer;TRANSACTIONXLOG;4;47
Append Imported Image from File;TRANSACTIONXLOG;4;48
Append Imported Image from Scan;TRANSACTIONXLOG;4;49
Undo (undo indexing action);TRANSACTIONXLOG;4;50
Marked Document for QA Review;TRANSACTIONXLOG;4;51
Deleted Markup Layer (not used);TRANSACTIONXLOG;4;52
VNA Page Added (deprecated);TRANSACTIONXLOG;4;53
Rendition Overwritten;TRANSACTIONXLOG;4;54
Un-Marked Page Rescan;TRANSACTIONXLOG;4;55
Un-Marked Scan Additional Pages (Before);TRANSACTIONXLOG;4;56
Un-Marked Scan Additional Pages (After);TRANSACTIONXLOG;4;57
Document Included In Document Packet;TRANSACTIONXLOG;4;58
Geolocation Added To Document;TRANSACTIONXLOG;4;59
Text Encoding Saved;TRANSACTIONXLOG;4;60
Rendition Deleted for File Type on Document;TRANSACTIONXLOG;4;61
Co-authored Document Changes;TRANSACTIONXLOG;4;62
Indexed Document (document indexed in Index);TRANSACTIONXLOG;4;63
Re-Indexed Document (document re-indexed in Re-Index);TRANSACTIONXLOG;4;64
Re-Indexed Document (document re-indexed in QA Re-Index);TRANSACTIONXLOG;4;65
Indexed Document (document indexed in Secondary Index);TRANSACTIONXLOG;4;66
