REFERENCE_DOCUMENT,PAYMENT_NUMBER,COSTCENTER,EFFECTIVE_DATE,AMOUNT,ACCOUNT_NUMBER,CURRISO,VAT,CREATED_DATE,PAYMENT_STATUS,PAYMENT_DIR,ZZNUM_TRANSACTION,ZZPAYMENT_TYPE_METHOD,ITEM_TEXT
1099526535784,30954-4468-2,15,2023-02-07,500.0,,CHF,,2023-02-07,Processed,Credit,,Cash,CASH_INIT
1099526535785,24647-13972-2,18,2023-02-07,600.0,,CHF,,2023-02-07,Processed,Credit,,Cash,CASH_INIT
1099526535786,30954-4469-4,15,2023-02-07,15.0,,CHF,7.7,2023-02-07,Processed,Credit,1647-9000000,Cashless Prepaid,1 Mittagscombo
1099526535787,24647-13973-3,18,2023-02-07,4.0,,CHF,7.7,2023-02-07,Processed,Credit,5633639177,Credit/Debit,1 PET Flasche
1099526535788,24647-13974-3,18,2023-02-07,5.0,,CHF,7.7,2023-02-07,Processed,Credit,,Cash,1 Snack
1099526535790,24647-13975-3,18,2023-02-07,8.0,,CHF,7.7,2023-02-07,Processed,Credit,,Cash,"1 Kaffee, 1 PET Flasche"
1099526535791,24647-13976-3,18,2023-02-07,5.0,,CHF,7.7,2023-02-07,Processed,Credit,5633678832,Credit/Debit,1 Latte Machiato
1099526535792,24647-13977-3,18,2023-02-07,4.5,,CHF,7.7,2023-02-07,Processed,Credit,5633679530,Credit/Debit,1 Cappuccino
1099526535793,24647-13978-4,18,2023-02-07,2.5,,CHF,7.7,2023-02-07,Processed,Credit,1614-243000000,Cashless Prepaid,1 Kaffee
1099526535794,30954-4470-3,15,2023-02-07,6.0,,CHF,7.7,2023-02-07,Processed,Credit,,Cash,"1 Kaffee, 1 Gipfel"
1099526535795,30954-4471-3,15,2023-02-07,6.0,,CHF,7.7,2023-02-07,Processed,Credit,,Cash,"1 Gipfel, 1 Milchkaffee"
1099526535796,30954-4472-3,15,2023-02-07,8.5,,CHF,7.7,2023-02-07,Processed,Credit,95716291340,Credit/Debit,"1 Snack II, 1 Butterbrezel, 1 Espresso"
1099526535797,30954-4473-3,15,2023-02-07,10.0,,CHF,7.7,2023-02-07,Processed,Credit,28438820340,Credit/Debit,"3 Snack II, 1 PET Flasche"
1099526535798,30954-4474-4,15,2023-02-07,2.5,,CHF,7.7,2023-02-07,Processed,Credit,1518-465000000,Cashless Prepaid,1 Kaffee
1099526535799,30954-4475-3,15,2023-02-07,12.5,,CHF,7.7,2023-02-07,Processed,Credit,21949692340,Credit/Debit,"1 Kaffee, 2 Snack II, 1 Cappuccino"
1099526535800,30954-4476-3,15,2023-02-07,5.0,,CHF,7.7,2023-02-07,Processed,Credit,,Cash,2 Personal Kaffee
1099526535801,30954-4477-4,15,2023-02-07,17.5,,CHF,7.7,2023-02-07,Processed,Credit,1526-790000000,Cashless Prepaid,"1 Kaffee, 1 Mittagscombo"
1099526535802,30954-4478-4,15,2023-02-07,6.0,,CHF,7.7,2023-02-07,Processed,Credit,1508-528000000,Cashless Prepaid,"1 Mandel / Nuss Gipfel, 1 Kaffee"
1099526535803,30954-4479-4,15,2023-02-07,2.5,,CHF,7.7,2023-02-07,Processed,Credit,1505-451000000,Cashless Prepaid,1 Kaffee
1099526535804,30954-4480-4,15,2023-02-07,17.5,,CHF,7.7,2023-02-07,Processed,Credit,1502-619000000,Cashless Prepaid,"1 Mittagscombo, 1 Kaffee"
1099526535805,30954-4481-4,15,2023-02-07,15.0,,CHF,7.7,2023-02-07,Processed,Credit,1556-175000000,Cashless Prepaid,1 Mittagscombo
1099526535806,30954-4482-4,15,2023-02-07,17.5,,CHF,7.7,2023-02-07,Processed,Credit,1523-257000000,Cashless Prepaid,"1 Schokolade/Ovi, 1 Mittagscombo"
1099526535807,30954-4483-4,15,2023-02-07,17.5,,CHF,7.7,2023-02-07,Processed,Credit,1503-705000000,Cashless Prepaid,"1 Kaffee, 1 Mittagscombo"
1099526535808,30954-4484-4,15,2023-02-07,7.5,,CHF,7.7,2023-02-07,Processed,Credit,1573-158000000,Cashless Prepaid,"1 Butterbrezel, 2 Kaffee"
1099526535809,30954-4485-4,15,2023-02-07,8.5,,CHF,7.7,2023-02-07,Processed,Credit,1504-225000000,Cashless Prepaid,"1 Tee, 1 Kaffee, 1 Mandel / Nuss Gipfel"
1099526535812,30954-4488-4,15,2023-02-07,17.5,,CHF,7.7,2023-02-07,Processed,Credit,1576-506000000,Cashless Prepaid,"1 Tee, 1 Mittagscombo"
1099526535813,30954-4489-4,15,2023-02-07,2.5,,CHF,7.7,2023-02-07,Processed,Credit,1563-630000000,Cashless Prepaid,1 Kaffee
1099526535814,30954-4490-4,15,2023-02-07,6.0,,CHF,7.7,2023-02-07,Processed,Credit,1522-473000000,Cashless Prepaid,"1 Mandel / Nuss Gipfel, 1 Espresso"
1099526535815,30954-4491-4,15,2023-02-07,2.5,,CHF,7.7,2023-02-07,Processed,Credit,1525-293000000,Cashless Prepaid,1 Cappuccino
1099526535816,30954-4492-3,15,2023-02-07,6.5,,CHF,7.7,2023-02-07,Processed,Credit,34102114240,Credit/Debit,"1 Butterbrezel, 1 Kaffee"
1099526535817,30954-4493-3,15,2023-02-07,16.0,,CHF,7.7,2023-02-07,Processed,Credit,94676653240,Credit/Debit,"1 Kaffee, 2 Sandwiche 6.00"
