REFERENCE_DOCUMENT,PAYMENT_NUMBER,COSTCENTER,EFFECTIVE_DATE,AMOUNT,ACCOUNT_NUMBER,CURRISO,VAT,CREATED_DATE,PAYMENT_STATUS,PAYMENT_DIR,ZZNUM_TRANSACTION,ZZPAYMENT_TYPE_METHOD,ITEM_TEXT
1099526322376,24648-12840-2,16,2023-01-10,600.0,,CHF,,2023-01-10,Processed,Credit,,Cash,CASH_INIT
1099526322590,24648-12841-3,16,2023-01-10,12.0,,CHF,7.7,2023-01-10,Processed,Credit,,Cash,3 Kaffee
1099526322600,24648-12842-3,16,2023-01-10,20.0,,CHF,7.7,2023-01-10,Processed,Credit,,Cash,"3 PET Flasche, 2 Kaffee"
1099526322882,30954-3242-2,15,2023-01-10,500.0,,CHF,,2023-01-10,Processed,Credit,,Cash,CASH_INIT
1099526322885,30954-3243-4,15,2023-01-10,15.0,,CHF,7.7,2023-01-10,Processed,Credit,1646-3000000,Cashless Prepaid,1 Mittagscombo
1099526322948,30954-3244-4,15,2023-01-10,2.5,,CHF,7.7,2023-01-10,Processed,Credit,1521-350000000,Cashless Prepaid,1 Kaffee
1099526322984,30954-3245-4,15,2023-01-10,20.0,,CHF,7.7,2023-01-10,Processed,Credit,1556-159000000,Cashless Prepaid,"1 Mittagscombo, 2 Kaffee"
1099526323358,30954-3247-4,15,2023-01-10,17.5,,CHF,7.7,2023-01-10,Processed,Credit,1505-435000000,Cashless Prepaid,"1 Kaffee, 1 Mittagscombo"
1099526323362,30954-3248-4,15,2023-01-10,6.0,,CHF,7.7,2023-01-10,Processed,Credit,1508-517000000,Cashless Prepaid,"1 Kaffee, 1 Mandel / Nuss Gipfel"
1099526323367,30954-3250-2,15,2023-01-10,100.0,,CHF,,2023-01-10,Processed,Credit,30178120720,Credit/Debit,LOAD ENCASH
1099526323367,30954-3250-3,15,2023-01-10,100.0,,CHF,,2023-01-10,Processed,Debit,1507-585000000,Cashless Prepaid,LOAD LOAD
1099526323369,30954-3251-4,15,2023-01-10,17.5,,CHF,7.7,2023-01-10,Processed,Credit,1507-586000000,Cashless Prepaid,"1 Kaffee, 1 Mittagscombo"
1099526323372,30954-3252-4,15,2023-01-10,19.5,,CHF,7.7,2023-01-10,Processed,Credit,1560-670000000,Cashless Prepaid,"1 Mittagscombo, 1 Kaffee, 1 Gipfel"
1099526323378,30954-3253-4,15,2023-01-10,17.5,,CHF,7.7,2023-01-10,Processed,Credit,1526-771000000,Cashless Prepaid,"1 Kaffee, 1 Mittagscombo"
1099526323380,30954-3254-4,15,2023-01-10,17.5,,CHF,7.7,2023-01-10,Processed,Credit,1563-602000000,Cashless Prepaid,"1 Kaffee, 1 Mittagscombo"
1099526323383,30954-3255-4,15,2023-01-10,5.0,,CHF,7.7,2023-01-10,Processed,Credit,1530-537000000,Cashless Prepaid,2 Kaffee
1099526323387,30954-3256-4,15,2023-01-10,17.5,,CHF,7.7,2023-01-10,Processed,Credit,1502-600000000,Cashless Prepaid,"1 Kaffee, 1 Mittagscombo"
1099526323390,30954-3257-4,15,2023-01-10,5.0,,CHF,7.7,2023-01-10,Processed,Credit,1504-206000000,Cashless Prepaid,"1 Kaffee, 1 Butterbrezel"
1099526323397,30954-3260-7,15,2023-01-10,2.5,,CHF,7.7,2023-01-10,Processed,Credit,1521-351000000,Cashless Prepaid,1 Kaffee
1099526323399,30954-3261-4,15,2023-01-10,2.5,,CHF,7.7,2023-01-10,Processed,Credit,1521-352000000,Cashless Prepaid,1 Kaffee
1099526323401,30954-3262-4,15,2023-01-10,17.5,,CHF,7.7,2023-01-10,Processed,Credit,1523-244000000,Cashless Prepaid,"1 Mittagscombo, 1 Kaffee"
1099526323404,30954-3263-4,15,2023-01-10,7.0,,CHF,7.7,2023-01-10,Processed,Credit,1573-138000000,Cashless Prepaid,"1 Gipfel, 2 Kaffee"
1099526323407,30954-3264-4,15,2023-01-10,6.0,,CHF,7.7,2023-01-10,Processed,Credit,1522-451000000,Cashless Prepaid,"1 Mandel / Nuss Gipfel, 1 Kaffee"
1099526323420,30954-3265-4,15,2023-01-10,2.5,,CHF,7.7,2023-01-10,Processed,Credit,1576-489000000,Cashless Prepaid,1 Kaffee
1099526323478,30954-3266-3,15,2023-01-10,2.5,,CHF,7.7,2023-01-10,Processed,Credit,1525-269000000,Cashless Prepaid,1 Butterbrezel
1099526323611,30954-3267-3,15,2023-01-10,6.0,,CHF,7.7,2023-01-10,Processed,Credit,78896564100,Credit/Debit,"1 Gipfel, 1 Kaffee"
1099526323617,30954-3268-3,15,2023-01-10,6.0,,CHF,7.7,2023-01-10,Processed,Credit,,Cash,"1 Kaffee, 1 Gipfel"
1099526323621,30954-3269-3,15,2023-01-10,6.0,,CHF,7.7,2023-01-10,Processed,Credit,,Cash,"1 Kaffee, 1 Gipfel"
1099526323627,30954-3270-2,15,2023-01-10,25.0,,CHF,,2023-01-10,Processed,Credit,27507103399,Credit/Debit,LOAD ENCASH
1099526323627,30954-3270-3,15,2023-01-10,25.0,,CHF,,2023-01-10,Processed,Debit,1512-311000000,Cashless Prepaid,LOAD LOAD
1099526323630,30954-3271-4,15,2023-01-10,20.0,,CHF,7.7,2023-01-10,Processed,Credit,1512-312000000,Cashless Prepaid,"2 Kaffee, 1 Mittagscombo"
1099526323633,30954-3272-4,15,2023-01-10,20.0,,CHF,7.7,2023-01-10,Processed,Credit,1554-26000000,Cashless Prepaid,"2 Kaffee, 1 Mittagscombo"
1099526323737,30954-3273-3,15,2023-01-10,2.0,,CHF,7.7,2023-01-10,Processed,Credit,,Cash,1 Snack II
1099526323741,24648-12847-3,16,2023-01-10,4.0,,CHF,7.7,2023-01-10,Processed,Credit,,Cash,1 Kaffee
1099526323742,30954-3274-3,15,2023-01-10,5.0,,CHF,7.7,2023-01-10,Processed,Credit,,Cash,2 Personal Getränke
1099526324090,30954-3275-3,15,2023-01-10,19.5,,CHF,7.7,2023-01-10,Processed,Credit,,Cash,"1 PET Flasche, 1 Teller vom Buffet"
1099526324129,30954-3276-3,15,2023-01-10,24.0,,CHF,7.7,2023-01-10,Processed,Credit,,Cash,"1 Kaffee, 1 Dessert, 1 Teller vom Buffet"
1099526324137,30954-3277-3,15,2023-01-10,24.0,,CHF,7.7,2023-01-10,Processed,Credit,97799340000,Credit/Debit,"1 PET Flasche, 1 Dessert, 1 Teller vom Buffet"
1099526324139,30954-3278-3,15,2023-01-10,24.0,,CHF,7.7,2023-01-10,Processed,Credit,,Cash,"1 Teller vom Buffet, 1 PET Flasche, 1 Dessert"
1099526324149,30954-3279-3,15,2023-01-10,24.0,,CHF,7.7,2023-01-10,Processed,Credit,93146946420,Credit/Debit,"1 Dessert, 1 PET Flasche, 1 Teller vom Buffet"
1099526324151,30954-3280-3,15,2023-01-10,24.0,,CHF,7.7,2023-01-10,Processed,Credit,19346946420,Credit/Debit,"1 PET Flasche, 1 Dessert, 1 Teller vom Buffet"
1099526324171,30954-3281-2,15,2023-01-10,80.0,,CHF,,2023-01-10,Processed,Credit,46365203399,Credit/Debit,LOAD ENCASH
1099526324171,30954-3281-3,15,2023-01-10,80.0,,CHF,,2023-01-10,Processed,Debit,1513-428000000,Cashless Prepaid,LOAD LOAD
1099526324176,30954-3282-4,15,2023-01-10,50.0,,CHF,7.7,2023-01-10,Processed,Credit,1513-429000000,Cashless Prepaid,"3 Mittagscombo, 2 Kaffee"
1099526324188,30954-3283-3,15,2023-01-10,26.0,,CHF,7.7,2023-01-10,Processed,Credit,,Cash,1 Mittagscombo
1099526324505,30954-3284-4,15,2023-01-10,20.0,,CHF,7.7,2023-01-10,Processed,Credit,1510-127000000,Cashless Prepaid,"1 Mittagscombo, 2 Kaffee"
1099526324539,30954-3285-4,15,2023-01-10,17.5,,CHF,7.7,2023-01-10,Processed,Credit,1563-603000000,Cashless Prepaid,"1 Mittagscombo, 1 Butterbrezel"
1099526324610,30954-3286-3,15,2023-01-10,52.0,,CHF,7.7,2023-01-10,Processed,Credit,98213664100,Credit/Debit,2 Mittagscombo
1099526324962,24648-12848-4,16,2023-01-10,15.0,,CHF,7.7,2023-01-10,Processed,Credit,1593-352000000,Cashless Prepaid,1 Mittagscombo
1099526325039,24648-12851-2,16,2023-01-10,50.0,,CHF,,2023-01-10,Processed,Credit,18403896200,Credit/Debit,LOAD ENCASH
1099526325039,24648-12851-3,16,2023-01-10,50.0,,CHF,,2023-01-10,Processed,Debit,1593-353000000,Cashless Prepaid,LOAD LOAD
1099526325115,24648-12852-4,16,2023-01-10,19.5,,CHF,7.7,2023-01-10,Processed,Credit,1588-256000000,Cashless Prepaid,"1 Mittagscombo, 1 Personal Getränke, 1 Snack II"
1099526325469,30954-3287-3,15,2023-01-10,40.0,,CHF,7.7,2023-01-10,Processed,Credit,17919528000,Credit/Debit,2 Militär Normal
1099526326046,24648-12853-3,16,2023-01-10,4.0,,CHF,7.7,2023-01-10,Processed,Credit,30940403399,Credit/Debit,1 Kaffee
1099526326069,24648-12854-3,16,2023-01-10,4.0,,CHF,7.7,2023-01-10,Processed,Credit,5607296570,Credit/Debit,1 Espresso
1099526326095,24648-12855-3,16,2023-01-10,5.0,,CHF,7.7,2023-01-10,Processed,Credit,1592-81000000,Cashless Prepaid,2 Personal Getränke
1099526326149,24648-12856-2,16,2023-01-10,36.0,,CHF,,2023-01-10,Processed,Debit,,Cash,CASH_WITHDRAW Abschöpfen
