"db";"cmdType";"start";"end";"statname"
" IDIT_PRD";" UPDATE_STATISTICS";"05:05:36";"05:05:39";" AC_ACCOUNT_PK"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_00000012_76F68FE1"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_00000010_76F68FE1"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_00000011_76F68FE1"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_0000000D_76F68FE1"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_0000000E_76F68FE1"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_0000000A_76F68FE1"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_0000000B_76F68FE1"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_00000007_76F68FE1"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_00000003_76F68FE1"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_00000006_76F68FE1"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" T_USER_ROLE_INDX1"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" T_USER_ROLE132NN1"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" T_USER_ROLE_PK"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_00000015_7325FEFD"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_0000000A_7325FEFD"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_0000000E_7325FEFD"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_00000009_7325FEFD"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_00000008_7325FEFD"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" T_USER_INDX_NAME"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_0000000E_039170F0"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_00000009_039170F0"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_00000005_039170F0"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_00000003_039170F0"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_00000002_039170F0"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" T_SETUP_PROJECT_DATA_INDEX"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" T_SETUP_PROJECT_DATA_PK"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_00000008_01A9287E"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_00000003_01A9287E"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:11";"16:42:11";" _WA_Sys_00000002_01A9287E"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:10";"16:42:11";" T_SETUP_PROJ_DATA_CHNG_PK"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:10";"16:42:10";" _WA_Sys_00000004_4552E271"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:09";"16:42:09";" _WA_Sys_0000000F_5DD5DC5C"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:09";"16:42:09";" _WA_Sys_00000007_5DD5DC5C"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:09";"16:42:09";" _WA_Sys_00000006_5DD5DC5C"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:09";"16:42:09";" _WA_Sys_00000005_5DD5DC5C"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:09";"16:42:09";" _WA_Sys_00000003_5DD5DC5C"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:09";"16:42:09";" _WA_Sys_00000002_5DD5DC5C"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:09";"16:42:09";" T_PAGE_META_DATA132UN1"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:09";"16:42:09";" T_PAGE_META_DATA_PK"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:09";"16:42:09";" _WA_Sys_00000004_51700577"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:09";"16:42:09";" _WA_Sys_00000005_51700577"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:09";"16:42:09";" _WA_Sys_00000002_51700577"
" IDIT_PRD";" UPDATE_STATISTICS";"16:42:09";"16:42:09";" T_NUMERATOR_PK"
