rank;name;description;defaultStatus;retry;delay
1;Tomcat8;OTDS Tomcat Server;Running;3;5
2;TomEE;Exstream Tomcat Server;Running;3;5
3;StreamServe Management Gateway 16.6;Exstream Management Gateway;Running;3;5
4;nginx166;Nginx Reverse Prox;Running;3;5
5;49253D41-380D-F441-8DEF-E7F4FA0C1654;WGE1AS170P_TCSExstream_PRD_SGW1;Running;3;5
6;E0AB395A-8C51-AC45-82A0-1CA9B15F528A;WGE1AS170P_TCSExstream_PRD_TaskScheduler;Running;3;5
7;057F94C9-BF8F-5C4D-85A5-AFD9A7768039;ASS00000;Running;3;5
8;07FDC507-04B5-4442-8204-E7F48D3E7116;SFE_CORRESP_LIBRE;Running;3;5
9;42CE3DA4-0401-5E4C-ACE0-92B78971160C;SFE_ENVOI_OFFRE;Running;3;5
10;5DA803BB-406A-C346-919C-71AD88BDC869;SFE_FULFILLMENT;Running;3;5
11;5F276CBF-7EA5-1940-85D5-FB9C3CFBF9DF;SFE_MASTERCARD;Running;3;5
12;966F7B1D-289F-EC45-ABB9-ACC46271639F;SFE_MUTATION;Running;3;5
13;9BA7F186-2B02-BF41-AB8F-57D25C79E936;SFE_OUTBOUND_RAPPEL;Running;3;5
14;9C5E84AA-982B-A049-AD75-ABA282FDEF52;SFE_REMBOURS_BV;Running;3;5
15;9CD2D4F0-40E9-DE41-9865-A2C115871672;SFE_RENSEIGN_INFOS;Running;3;5
16;9D744780-F698-B549-848C-E49A09E55397;SFE_RESILIATION_ANNUL;Running;3;5
17;DE71DF24-EE1C-BD4E-9290-F36AF7BBC003;SFE_SOUSCRIP_VENTE;Running;3;5
18;00739062-65D0-0043-9707-43E7A98C6839;x-dunning-action;Running;3;5
19;069C73FF-C8D7-4840-922C-CE136EE82E50;x-endorsement-created;Running;3;5
20;1C223C12-CA1F-BC42-BFFA-6BAD5F807461;X-IBAN-requested;Running;3;5
21;2ED980C5-3F5E-B641-9072-AC8A180FE453;x-insured-object-adress-changed;Running;3;5
22;3FE795A0-0782-D747-99E6-F383C3469B5E;x-invoice-created;Running;3;5
23;5159D7F6-D8EB-A344-BB82-D0079276C147;x-new-benef;Running;3;5
24;57C2421B-E066-174B-A022-686D2ADE7C5C;x-new-card16;Running;3;5
25;62C4608C-67CA-764C-818C-1A7F41E82F57;x-new-policy;Running;3;5
26;80355148-CFA9-B24C-AD68-879806360252;x-partial-payment;Running;3;5
27;835E8BD5-7C29-104E-83FA-68C1DEACE204;x-partn-card-inv-paid;Running;3;5
28;842ED696-5838-8740-B1BB-2E5E4C809529;x-pmnt-slip-benef;Running;3;5
29;92079AEB-EA33-8542-B37F-37B91D8B5D44;x-pmnt-slip-created;Running;3;5
30;93BCB7D4-2C23-3B43-896F-C46809A6B4AC;x-policy-cancelled;Running;3;5
31;95260449-445D-4042-8ECC-60826E2B11A9;x-policy-depend-cancel;Running;3;5
32;95D65952-3007-9D4C-ABAC-723C03EFACE6;x-post-renew-endors;Running;3;5
33;9EA5CFCE-7D98-C442-9EE5-24A0CF358F7F;x-print-card;Running;3;5
34;AA076414-F4B5-7E4B-A9D7-813B22F78748;x-print-certificate;Running;3;5
35;AC4E4440-EF38-8747-B6CF-B8A8844C2849;x-print-invoice;Running;3;5
36;DD4200F5-A7A4-9140-8169-5E82C78D888D;x-products-overview;Running;3;5
