"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","ModeWithoutHardLink","VersionInfo","BaseName","Target","LinkType","Length","DirectoryName","Directory","IsReadOnly","FullName","Extension","Name","Exists","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","LinkTarget","Attributes"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\30_Perl\Bac a sable - PERL\crypto\cryptRSA.log_error.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\30_Perl\Bac a sable - PERL\crypto","cryptRSA.log_error.log","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\dev\30_Perl\Bac a sable - PERL\crypto\cryptRSA.log_error.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","cryptRSA.log_error",,,"0","D:\dev\30_Perl\Bac a sable - PERL\crypto","D:\dev\30_Perl\Bac a sable - PERL\crypto","False","D:\dev\30_Perl\Bac a sable - PERL\crypto\cryptRSA.log_error.log",".log","cryptRSA.log_error.log","True","02.08.2019 23:25:35","02.08.2019 21:25:35","19.12.2019 22:58:33","19.12.2019 21:58:33","05.06.2011 23:03:03","05.06.2011 21:03:03",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\Local Storage\leveldb\000003.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\Local Storage\leveldb","000003.log","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\Local Storage\leveldb\000003.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","000003",,,"0","D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\Local Storage\leveldb","D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\Local Storage\leveldb","False","D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\Local Storage\leveldb\000003.log",".log","000003.log","True","02.08.2019 14:27:38","02.08.2019 12:27:38","19.12.2019 22:58:23","19.12.2019 21:58:23","30.06.2019 23:30:04","30.06.2019 21:30:04",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\output_1_20191219T234153\extensions.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\output_1_20191219T234153","extensions.log","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\output_1_20191219T234153\extensions.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","extensions",,,"0","D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\output_1_20191219T234153","D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\output_1_20191219T234153","False","D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\output_1_20191219T234153\extensions.log",".log","extensions.log","True","19.12.2019 23:41:53","19.12.2019 22:41:53","19.12.2019 23:41:53","19.12.2019 22:41:53","19.12.2019 23:41:53","19.12.2019 22:41:53",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\output_1_20191219T234153\tasks.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\output_1_20191219T234153","tasks.log","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\output_1_20191219T234153\tasks.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","tasks",,,"0","D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\output_1_20191219T234153","D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\output_1_20191219T234153","False","D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\output_1_20191219T234153\tasks.log",".log","tasks.log","True","19.12.2019 23:41:53","19.12.2019 22:41:53","19.12.2019 23:41:53","19.12.2019 22:41:53","19.12.2019 23:41:53","19.12.2019 22:41:53",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\30_Perl\PerlSandBox\logs\genDocType.log_info.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\30_Perl\PerlSandBox\logs","genDocType.log_info.log","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\dev\30_Perl\PerlSandBox\logs\genDocType.log_info.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","genDocType.log_info",,,"0","D:\dev\30_Perl\PerlSandBox\logs","D:\dev\30_Perl\PerlSandBox\logs","False","D:\dev\30_Perl\PerlSandBox\logs\genDocType.log_info.log",".log","genDocType.log_info.log","True","02.08.2019 14:40:22","02.08.2019 12:40:22","19.12.2019 22:58:57","19.12.2019 21:58:57","03.06.2019 23:30:45","03.06.2019 21:30:45",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\.metadata\.plugins\org.eclipse.rse.ui\.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\.metadata\.plugins\org.eclipse.rse.ui",".log","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\dev\.metadata\.plugins\org.eclipse.rse.ui\.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","",,,"0","D:\dev\.metadata\.plugins\org.eclipse.rse.ui","D:\dev\.metadata\.plugins\org.eclipse.rse.ui","False","D:\dev\.metadata\.plugins\org.eclipse.rse.ui\.log",".log",".log","True","02.08.2019 16:50:45","02.08.2019 14:50:45","19.12.2019 22:58:31","19.12.2019 21:58:31","07.06.2018 19:20:06","07.06.2018 17:20:06",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\.metadata\.plugins\org.eclipse.rse.core\.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\.metadata\.plugins\org.eclipse.rse.core",".log","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\dev\.metadata\.plugins\org.eclipse.rse.core\.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","",,,"0","D:\dev\.metadata\.plugins\org.eclipse.rse.core","D:\dev\.metadata\.plugins\org.eclipse.rse.core","False","D:\dev\.metadata\.plugins\org.eclipse.rse.core\.log",".log",".log","True","19.12.2019 23:41:34","19.12.2019 22:41:34","19.12.2019 23:41:34","19.12.2019 22:41:34","19.12.2019 23:41:34","19.12.2019 22:41:34",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\main.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151","main.log","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\main.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","main",,,"102","D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151","D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151","False","D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\main.log",".log","main.log","True","19.12.2019 23:41:51","19.12.2019 22:41:51","03.12.2021 00:32:13","02.12.2021 23:32:13","19.12.2019 23:41:53","19.12.2019 22:41:53",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\PowerShell\data\input\logs\20220129_2238_main.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\PowerShell\data\input\logs","20220129_2238_main.log","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\dev\40_PowerShell\PowerShell\data\input\logs\20220129_2238_main.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","20220129_2238_main",,,"119","D:\dev\40_PowerShell\PowerShell\data\input\logs","D:\dev\40_PowerShell\PowerShell\data\input\logs","False","D:\dev\40_PowerShell\PowerShell\data\input\logs\20220129_2238_main.log",".log","20220129_2238_main.log","True","29.01.2022 22:38:48","29.01.2022 21:38:48","20.04.2022 23:42:56","20.04.2022 21:42:56","10.03.2022 22:25:57","10.03.2022 21:25:57",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\PowerShell\data\input\logs\test.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\PowerShell\data\input\logs","test.log","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\dev\40_PowerShell\PowerShell\data\input\logs\test.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","test",,,"119","D:\dev\40_PowerShell\PowerShell\data\input\logs","D:\dev\40_PowerShell\PowerShell\data\input\logs","False","D:\dev\40_PowerShell\PowerShell\data\input\logs\test.log",".log","test.log","True","10.03.2022 22:27:20","10.03.2022 21:27:20","20.04.2022 23:42:56","20.04.2022 21:42:56","11.03.2022 21:40:56","11.03.2022 20:40:56",,"Archive"
